index,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
0,1,39.1,18.7,181,3750,2
1,1,39.5,17.4,186,3800,1
2,1,40.3,18.0,195,3250,1
4,1,36.7,19.3,193,3450,1
5,1,39.3,20.6,190,3650,2
6,1,38.9,17.8,181,3625,1
7,1,39.2,19.6,195,4675,2
12,1,41.1,17.6,182,3200,1
13,1,38.6,21.2,191,3800,2
14,1,34.6,21.1,198,4400,2
15,1,36.6,17.8,185,3700,1
16,1,38.7,19.0,195,3450,1
17,1,42.5,20.7,197,4500,2
18,1,34.4,18.4,184,3325,1
19,1,46.0,21.5,194,4200,2
20,1,37.8,18.3,174,3400,1
21,1,37.7,18.7,180,3600,2
22,1,35.9,19.2,189,3800,1
23,1,38.2,18.1,185,3950,2
24,1,38.8,17.2,180,3800,2
25,1,35.3,18.9,187,3800,1
26,1,40.6,18.6,183,3550,2
27,1,40.5,17.9,187,3200,1
28,1,37.9,18.6,172,3150,1
29,1,40.5,18.9,180,3950,2
30,1,39.5,16.7,178,3250,1
31,1,37.2,18.1,178,3900,2
32,1,39.5,17.8,188,3300,1
33,1,40.9,18.9,184,3900,2
34,1,36.4,17.0,195,3325,1
35,1,39.2,21.1,196,4150,2
36,1,38.8,20.0,190,3950,2
37,1,42.2,18.5,180,3550,1
38,1,37.6,19.3,181,3300,1
39,1,39.8,19.1,184,4650,2
40,1,36.5,18.0,182,3150,1
41,1,40.8,18.4,195,3900,2
42,1,36.0,18.5,186,3100,1
43,1,44.1,19.7,196,4400,2
44,1,37.0,16.9,185,3000,1
45,1,39.6,18.8,190,4600,2
46,1,41.1,19.0,182,3425,2
48,1,36.0,17.9,190,3450,1
49,1,42.3,21.2,191,4150,2
50,1,39.6,17.7,186,3500,1
51,1,40.1,18.9,188,4300,2
52,1,35.0,17.9,190,3450,1
53,1,42.0,19.5,200,4050,2
54,1,34.5,18.1,187,2900,1
55,1,41.4,18.6,191,3700,2
56,1,39.0,17.5,186,3550,1
57,1,40.6,18.8,193,3800,2
58,1,36.5,16.6,181,2850,1
59,1,37.6,19.1,194,3750,2
60,1,35.7,16.9,185,3150,1
61,1,41.3,21.1,195,4400,2
62,1,37.6,17.0,185,3600,1
63,1,41.1,18.2,192,4050,2
64,1,36.4,17.1,184,2850,1
65,1,41.6,18.0,192,3950,2
66,1,35.5,16.2,195,3350,1
67,1,41.1,19.1,188,4100,2
68,1,35.9,16.6,190,3050,1
69,1,41.8,19.4,198,4450,2
70,1,33.5,19.0,190,3600,1
71,1,39.7,18.4,190,3900,2
72,1,39.6,17.2,196,3550,1
73,1,45.8,18.9,197,4150,2
74,1,35.5,17.5,190,3700,1
75,1,42.8,18.5,195,4250,2
76,1,40.9,16.8,191,3700,1
77,1,37.2,19.4,184,3900,2
78,1,36.2,16.1,187,3550,1
79,1,42.1,19.1,195,4000,2
80,1,34.6,17.2,189,3200,1
81,1,42.9,17.6,196,4700,2
82,1,36.7,18.8,187,3800,1
83,1,35.1,19.4,193,4200,2
84,1,37.3,17.8,191,3350,1
85,1,41.3,20.3,194,3550,2
86,1,36.3,19.5,190,3800,2
87,1,36.9,18.6,189,3500,1
88,1,38.3,19.2,189,3950,2
89,1,38.9,18.8,190,3600,1
90,1,35.7,18.0,202,3550,1
91,1,41.1,18.1,205,4300,2
92,1,34.0,17.1,185,3400,1
93,1,39.6,18.1,186,4450,2
94,1,36.2,17.3,187,3300,1
95,1,40.8,18.9,208,4300,2
96,1,38.1,18.6,190,3700,1
97,1,40.3,18.5,196,4350,2
98,1,33.1,16.1,178,2900,1
99,1,43.2,18.5,192,4100,2
100,1,35.0,17.9,192,3725,1
101,1,41.0,20.0,203,4725,2
102,1,37.7,16.0,183,3075,1
103,1,37.8,20.0,190,4250,2
104,1,37.9,18.6,193,2925,1
105,1,39.7,18.9,184,3550,2
106,1,38.6,17.2,199,3750,1
107,1,38.2,20.0,190,3900,2
108,1,38.1,17.0,181,3175,1
109,1,43.2,19.0,197,4775,2
110,1,38.1,16.5,198,3825,1
111,1,45.6,20.3,191,4600,2
112,1,39.7,17.7,193,3200,1
113,1,42.2,19.5,197,4275,2
114,1,39.6,20.7,191,3900,1
115,1,42.7,18.3,196,4075,2
116,1,38.6,17.0,188,2900,1
117,1,37.3,20.5,199,3775,2
118,1,35.7,17.0,189,3350,1
119,1,41.1,18.6,189,3325,2
120,1,36.2,17.2,187,3150,1
121,1,37.7,19.8,198,3500,2
122,1,40.2,17.0,176,3450,1
123,1,41.4,18.5,202,3875,2
124,1,35.2,15.9,186,3050,1
125,1,40.6,19.0,199,4000,2
126,1,38.8,17.6,191,3275,1
127,1,41.5,18.3,195,4300,2
128,1,39.0,17.1,191,3050,1
129,1,44.1,18.0,210,4000,2
130,1,38.5,17.9,190,3325,1
131,1,43.1,19.2,197,3500,2
132,1,36.8,18.5,193,3500,1
133,1,37.5,18.5,199,4475,2
134,1,38.1,17.6,187,3425,1
135,1,41.1,17.5,190,3900,2
136,1,35.6,17.5,191,3175,1
137,1,40.2,20.1,200,3975,2
138,1,37.0,16.5,185,3400,1
139,1,39.7,17.9,193,4250,2
140,1,40.2,17.1,193,3400,1
141,1,40.6,17.2,187,3475,2
142,1,32.1,15.5,188,3050,1
143,1,40.7,17.0,190,3725,2
144,1,37.3,16.8,192,3000,1
145,1,39.0,18.7,185,3650,2
146,1,39.2,18.6,190,4250,2
147,1,36.6,18.4,184,3475,1
148,1,36.0,17.8,195,3450,1
149,1,37.8,18.1,193,3750,2
150,1,36.0,17.1,187,3700,1
151,1,41.5,18.5,201,4000,2
152,2,46.1,13.2,211,4500,1
153,2,50.0,16.3,230,5700,2
154,2,48.7,14.1,210,4450,1
155,2,50.0,15.2,218,5700,2
156,2,47.6,14.5,215,5400,2
157,2,46.5,13.5,210,4550,1
158,2,45.4,14.6,211,4800,1
159,2,46.7,15.3,219,5200,2
160,2,43.3,13.4,209,4400,1
161,2,46.8,15.4,215,5150,2
162,2,40.9,13.7,214,4650,1
163,2,49.0,16.1,216,5550,2
164,2,45.5,13.7,214,4650,1
165,2,48.4,14.6,213,5850,2
166,2,45.8,14.6,210,4200,1
167,2,49.3,15.7,217,5850,2
168,2,42.0,13.5,210,4150,1
169,2,49.2,15.2,221,6300,2
170,2,46.2,14.5,209,4800,1
171,2,48.7,15.1,222,5350,2
172,2,50.2,14.3,218,5700,2
173,2,45.1,14.5,215,5000,1
174,2,46.5,14.5,213,4400,1
175,2,46.3,15.8,215,5050,2
176,2,42.9,13.1,215,5000,1
177,2,46.1,15.1,215,5100,2
179,2,47.8,15.0,215,5650,2
180,2,48.2,14.3,210,4600,1
181,2,50.0,15.3,220,5550,2
182,2,47.3,15.3,222,5250,2
183,2,42.8,14.2,209,4700,1
184,2,45.1,14.5,207,5050,1
185,2,59.6,17.0,230,6050,2
186,2,49.1,14.8,220,5150,1
187,2,48.4,16.3,220,5400,2
188,2,42.6,13.7,213,4950,1
189,2,44.4,17.3,219,5250,2
190,2,44.0,13.6,208,4350,1
191,2,48.7,15.7,208,5350,2
192,2,42.7,13.7,208,3950,1
193,2,49.6,16.0,225,5700,2
194,2,45.3,13.7,210,4300,1
195,2,49.6,15.0,216,4750,2
196,2,50.5,15.9,222,5550,2
197,2,43.6,13.9,217,4900,1
198,2,45.5,13.9,210,4200,1
199,2,50.5,15.9,225,5400,2
200,2,44.9,13.3,213,5100,1
201,2,45.2,15.8,215,5300,2
202,2,46.6,14.2,210,4850,1
203,2,48.5,14.1,220,5300,2
204,2,45.1,14.4,210,4400,1
205,2,50.1,15.0,225,5000,2
206,2,46.5,14.4,217,4900,1
207,2,45.0,15.4,220,5050,2
208,2,43.8,13.9,208,4300,1
209,2,45.5,15.0,220,5000,2
210,2,43.2,14.5,208,4450,1
211,2,50.4,15.3,224,5550,2
212,2,45.3,13.8,208,4200,1
213,2,46.2,14.9,221,5300,2
214,2,45.7,13.9,214,4400,1
215,2,54.3,15.7,231,5650,2
216,2,45.8,14.2,219,4700,1
217,2,49.8,16.8,230,5700,2
219,2,49.5,16.2,229,5800,2
220,2,43.5,14.2,220,4700,1
221,2,50.7,15.0,223,5550,2
222,2,47.7,15.0,216,4750,1
223,2,46.4,15.6,221,5000,2
224,2,48.2,15.6,221,5100,2
225,2,46.5,14.8,217,5200,1
226,2,46.4,15.0,216,4700,1
227,2,48.6,16.0,230,5800,2
228,2,47.5,14.2,209,4600,1
229,2,51.1,16.3,220,6000,2
230,2,45.2,13.8,215,4750,1
231,2,45.2,16.4,223,5950,2
232,2,49.1,14.5,212,4625,1
233,2,52.5,15.6,221,5450,2
234,2,47.4,14.6,212,4725,1
235,2,50.0,15.9,224,5350,2
236,2,44.9,13.8,212,4750,1
237,2,50.8,17.3,228,5600,2
238,2,43.4,14.4,218,4600,1
239,2,51.3,14.2,218,5300,2
240,2,47.5,14.0,212,4875,1
241,2,52.1,17.0,230,5550,2
242,2,47.5,15.0,218,4950,1
243,2,52.2,17.1,228,5400,2
244,2,45.5,14.5,212,4750,1
245,2,49.5,16.1,224,5650,2
246,2,44.5,14.7,214,4850,1
247,2,50.8,15.7,226,5200,2
248,2,49.4,15.8,216,4925,2
249,2,46.9,14.6,222,4875,1
250,2,48.4,14.4,203,4625,1
251,2,51.1,16.5,225,5250,2
252,2,48.5,15.0,219,4850,1
253,2,55.9,17.0,228,5600,2
254,2,47.2,15.5,215,4975,1
255,2,49.1,15.0,228,5500,2
257,2,46.8,16.1,215,5500,2
258,2,41.7,14.7,210,4700,1
259,2,53.4,15.8,219,5500,2
260,2,43.3,14.0,208,4575,1
261,2,48.1,15.1,209,5500,2
262,2,50.5,15.2,216,5000,1
263,2,49.8,15.9,229,5950,2
264,2,43.5,15.2,213,4650,1
265,2,51.5,16.3,230,5500,2
266,2,46.2,14.1,217,4375,1
267,2,55.1,16.0,230,5850,2
269,2,48.8,16.2,222,6000,2
270,2,47.2,13.7,214,4925,1
272,2,46.8,14.3,215,4850,1
273,2,50.4,15.7,222,5750,2
274,2,45.2,14.8,212,5200,1
275,2,49.9,16.1,213,5400,2
276,3,46.5,17.9,192,3500,1
277,3,50.0,19.5,196,3900,2
278,3,51.3,19.2,193,3650,2
279,3,45.4,18.7,188,3525,1
280,3,52.7,19.8,197,3725,2
281,3,45.2,17.8,198,3950,1
282,3,46.1,18.2,178,3250,1
283,3,51.3,18.2,197,3750,2
284,3,46.0,18.9,195,4150,1
285,3,51.3,19.9,198,3700,2
286,3,46.6,17.8,193,3800,1
287,3,51.7,20.3,194,3775,2
288,3,47.0,17.3,185,3700,1
289,3,52.0,18.1,201,4050,2
290,3,45.9,17.1,190,3575,1
291,3,50.5,19.6,201,4050,2
292,3,50.3,20.0,197,3300,2
293,3,58.0,17.8,181,3700,1
294,3,46.4,18.6,190,3450,1
295,3,49.2,18.2,195,4400,2
296,3,42.4,17.3,181,3600,1
297,3,48.5,17.5,191,3400,2
298,3,43.2,16.6,187,2900,1
299,3,50.6,19.4,193,3800,2
300,3,46.7,17.9,195,3300,1
301,3,52.0,19.0,197,4150,2
302,3,50.5,18.4,200,3400,1
303,3,49.5,19.0,200,3800,2
304,3,46.4,17.8,191,3700,1
305,3,52.8,20.0,205,4550,2
306,3,40.9,16.6,187,3200,1
307,3,54.2,20.8,201,4300,2
308,3,42.5,16.7,187,3350,1
309,3,51.0,18.8,203,4100,2
310,3,49.7,18.6,195,3600,2
311,3,47.5,16.8,199,3900,1
312,3,47.6,18.3,195,3850,1
313,3,52.0,20.7,210,4800,2
314,3,46.9,16.6,192,2700,1
315,3,53.5,19.9,205,4500,2
316,3,49.0,19.5,210,3950,2
317,3,46.2,17.5,187,3650,1
318,3,50.9,19.1,196,3550,2
319,3,45.5,17.0,196,3500,1
320,3,50.9,17.9,196,3675,1
321,3,50.8,18.5,201,4450,2
322,3,50.1,17.9,190,3400,1
323,3,49.0,19.6,212,4300,2
324,3,51.5,18.7,187,3250,2
325,3,49.8,17.3,198,3675,1
326,3,48.1,16.4,199,3325,1
327,3,51.4,19.0,201,3950,2
328,3,45.7,17.3,193,3600,1
329,3,50.7,19.7,203,4050,2
330,3,42.5,17.3,187,3350,1
331,3,52.2,18.8,197,3450,2
332,3,45.2,16.6,191,3250,1
333,3,49.3,19.9,203,4050,2
334,3,50.2,18.8,202,3800,2
335,3,45.6,19.4,194,3525,1
336,3,51.9,19.5,206,3950,2
337,3,46.8,16.5,189,3650,1
338,3,45.7,17.0,195,3650,1
339,3,55.8,19.8,207,4000,2
340,3,43.5,18.1,202,3400,1
341,3,49.6,18.2,193,3775,2
342,3,50.8,19.0,210,4100,2
343,3,50.2,18.7,198,3775,1
